
  Obs              nume_produs     categorie  unitati_vandute  pret_pe_unitate  vanzari_totale  data_lansare  Numar_inregistrari
    1  Apple_iPhone_12          Telefon                    20          4522.74         90454.8    01/01/2023                   2
    2  Samsung_Galaxy_S21       Telefon                    15           4021.1         60316.5    01/03/2023                   2
    3  Apple_iPad_Pro_12in      Tablete                    10          5237.71         52377.1    01/05/2023                   2
    4  Samsung_Galaxy_Tab_S7    Tablete                     8          2809.03        22472.24    01/06/2023                   2
    5  Sony_PlayStation_5       Jocuri video                5          2220.52         11102.6    03/08/2023                   2
    6  Microsoft_Xbox_Series_X  Jocuri video                6          2665.45         15992.7    01/01/2023                   2
    7  Apple_MacBook_Air        Laptopuri                   3          5237.71        15713.13    02/01/2023                   2
    8  Dell_XPS_13              Laptopuri                   4          6053.26        24213.04    04/14/2023                   2
    9  Samsung_QLED_Q90T        Televizoare                 2         10017.84        20035.68    01/16/2023                   2
   10  LG_OLED_CX               Televizoare                 3          8014.27        24042.81    01/17/2023                   2

